,User,Topic,TestsActs,ÜbungenActs,KurzaufgabenActs,BeispieleActs,BK_InfoActs,Ü_InfoActs,Übersicht,LearnActs,InfoActs,TotActs,Learn,Info,Tot,ShortLearnActs,ShortInfoActs,LongLearnActs,LongInfoActs,K+BActs,K+ÜActs,K+Ü+TActs,K+B+ÜActs,K+BKIActs,B+BKIActs,Ü+ÜIActs,BKI+ÜIActs,K+B+BKIActs,K+B+BKI+ÜIActs,K+B+BKI+Ü+ÜIActs,readActs,Tests_tpa,Übungen_tpa,Kurzaufgaben_tpa,Beispiele_tpa,BK_Info_tpa,Ü_Info_tpa,Learn_tpa,Info_tpa,Tot_tpa,K+B_tpa,K+Ü_tpa,K+Ü+T_tpa,K+B+Ü_tpa,K+BKI_tpa,B+BKI_tpa,Ü+ÜI_tpa,BKI+ÜI_tpa,K+B+BKI_tpa,K+B+BKI+ÜI_tpa,K+B+BKI+Ü+ÜI_tpa,read_tpa,duplicates,nCat,LearnTypeEntropy,CategoryEntropy,DidTest,f1,f2,f12,f1Amp,f2Amp,f12Amp,fMean,PredChance1,PredChance2,PredChance3,PredChance4,CondEntropy1,CondEntropy2,CondEntropy3,CondEntropy4,BeforeTestTime,AfterTestTime,TimePerCat,TRegr Fit,ÜRegr Fit,BKRegr Fit,CatTRegr Fit,CatÜRegr Fit,CatBKRegr Fit,DiffLowRegr Fit,DiffMedRegr Fit,DiffHighRegr Fit,TSecSpentRegr Fit,ÜSecSpentRegr Fit,BKSecSpentRegr Fit,SecSpentRegr Fit,meandifficulty,ndifficulty,backfrac,foolfrac1,foolfrac2,foolfrac12,backfrac_cat,foolfrac_cat,jumpfrac_cat,backfrac_topic,foolfrac_topic,jumpfrac_topic,TT,TB,UT,UU,UB,KK,KB,BU,BK,BB,TTT,TTB,TBB,UUU,KKK,KKB,KBK,KBB,BKK,BKB,BBK,BBB,Tests,Übungen,Kurzaufgaben,Beispiele,BK_Info,Ü_Info,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Grund,Erweitert,K+B,K+Ü,K+Ü+T,K+B+Ü,K+BKI,B+BKI,Ü+ÜI,BKI+ÜI,K+B+BKI,K+B+BKI+ÜI,K+B+BKI+Ü+ÜI,ShortActs,LongActs,read,LearnPerc,InfoPerc,LearnActsPerc,InfoActsPerc,duplicatesPerc,ShortLearnActsPerc,ShortInfoActsPerc,LongLearnActsPerc,LongInfoActsPerc,ShortActsPerc,LongActsPerc
36,36,216,10,6,9,19,41,4,163,44,45,103,4637,3599,8399,9,28,1,4,28,15,25,34,50,60,10,45,69,73,79,60,261.6,98.83333333333333,70.22222222222223,41.89473684210526,85.90243902439025,19.25,105.38636363636364,79.97777777777777,81.54368932038835,51.0,81.66666666666667,153.64,59.44117647058823,83.08,71.96666666666667,67.0,79.97777777777777,71.73913043478261,68.86301369863014,71.13924050632912,71.96666666666667,61,2,84.16007352832787,38.61108079858308,1,13,4,8.5,29.545454545454547,27.27272727272727,56.81818181818181,10.558974358974359,85.29411764705883,88.11881188118812,93.0,94.94949494949495,38.67294743305351,34.75065186133701,26.177572416079197,16.67215154138332,21.008333333333333,27.183333333333334,69.99166666666666,0.35952584296040774,0.017373130067365995,-0.3768989730277738,0.2496447086848879,0.10079372794849388,-0.35043843663338164,0.0,0.0,0.0,-1091.848168626044,619.2723476157297,436.0308043339869,259.4639998980862,0.0,6,0.1,0.375,0.075,0.45,1,2,0,2,10,3,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.07954545454545454,0.011363636363636364,0.022727272727272728,0.07954545454545454,0.03409090909090909,0.07954545454545454,0.5340909090909091,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.04597701149425287,0.011494252873563218,0.011494252873563218,0.04597701149425287,0.011494252873563218,0.011494252873563218,0.06896551724137931,0.034482758620689655,0.47126436781609193,31.146565067269915,7.060364329086796,7.52470532206215,9.47731872842005,41.9335635194666,0.9167758066436481,47.42231218002143,52.57768781997857,0.0,0.0,0.0,0.0,100.0,0.0,17.002024050482202,14.585069651148947,45.73163471841886,24.062388379568997,49.45826884152875,51.41088224788666,7.977140135730444,42.85033932611025,58.9355875699488,59.85236337659246,66.91272770567925,0.4405286343612335,0.059530896535301824,51.41088224788666,55.208953446838905,42.85033932611025,42.71844660194174,43.689320388349515,59.22330097087378,8.737864077669903,27.184466019417474,0.9708737864077669,3.8834951456310676,0.42769770326333345,0.0577969869274775
37,37,1563,7,0,31,39,82,0,115,77,82,175,3845,3895,7855,29,34,0,0,70,31,38,70,113,121,0,82,152,152,152,121,129.28571428571428,,69.29032258064517,20.307692307692307,47.5,,49.935064935064936,47.5,44.885714285714286,42.0,69.29032258064517,80.34210526315789,42.0,53.47787610619469,38.735537190082646,,47.5,44.9671052631579,44.9671052631579,44.9671052631579,38.735537190082646,92,4,73.66064757349989,66.52375754252195,1,4,19,11.5,25.97402597402597,24.675324675324674,50.649350649350644,32.25,94.25287356321839,95.95375722543352,97.09302325581395,97.07602339181285,24.662848688200814,20.647391786028084,17.27919792031263,14.0271521400126,0.11666666666666667,19.433333333333334,32.729166666666664,-0.022030089596913844,0.0,0.022030089596913136,0.1382893674000037,0.0,-0.13828936740000275,0.0,0.0,0.0,1582.6220024379388,0.0,34.13178566447318,25.23550880123816,-1.0,0,0.02702702702702703,0.5945945945945946,0.06756756756756757,0.6621621621621622,3,2,3,4,18,6,0.03164556962025317,0.012658227848101266,0.0,0.0,0.0,0.0759493670886076,0.12025316455696203,0.0,0.12025316455696203,0.6329113924050633,0.025477707006369428,0.006369426751592357,0.012738853503184714,0.0,0.03821656050955414,0.03821656050955414,0.06369426751592357,0.050955414012738856,0.03821656050955414,0.08280254777070063,0.05732484076433121,0.5732484076433121,11.521323997453852,0.0,27.345639719923614,10.08274984086569,49.586250795671546,0.0,26.45448758752387,31.304901336728197,3.1699554423933805,0.0,0.0,39.07065563335455,100.0,0.0,37.428389560789306,27.345639719923614,38.866963717377466,37.428389560789306,76.93189051559516,59.66900063653724,0.0,49.586250795671546,87.01464035646084,87.01464035646084,87.01464035646084,0.8020369191597707,0.0,59.66900063653724,48.94971355824316,49.586250795671546,44.0,46.85714285714286,52.57142857142857,16.57142857142857,19.428571428571427,0.0,0.0,0.45830681094844045,0.0
38,38,525,0,5,40,0,21,2,77,45,23,82,5882,2369,8328,0,4,11,0,40,45,45,45,61,21,7,23,61,63,68,21,,86.0,136.3,,111.85714285714286,10.0,130.7111111111111,103.0,101.5609756097561,136.3,130.7111111111111,130.7111111111111,130.7111111111111,127.88524590163935,111.85714285714286,64.28571428571429,103.0,127.88524590163935,124.14285714285714,121.33823529411765,111.85714285714286,12,6,49.092155547385566,77.54484863691246,0,24,16,20.0,53.333333333333336,35.55555555555556,88.88888888888889,27.503333333333334,88.88888888888889,92.5,92.40506329113924,92.3076923076923,43.89323117368463,35.438272498340616,26.155830081226135,23.592945997257214,0.0,0.0,23.133333333333333,0.0,0.06387487106696868,-0.06387487106696844,0.0,0.05728617081404207,-0.05728617081404211,0.0,0.0,0.0,0.0,1265.734059997202,-15.699671294618224,-8.479685301277113,0.0,5,0.0,0.6222222222222222,0.06666666666666667,0.6888888888888889,0,5,0,1,12,6,0.0,0.0,0.0,0.07462686567164178,0.029850746268656716,0.40298507462686567,0.1791044776119403,0.014925373134328358,0.19402985074626866,0.08955223880597014,0.0,0.0,0.0,0.06060606060606061,0.24242424242424243,0.15151515151515152,0.13636363636363635,0.030303030303030304,0.16666666666666666,0.030303030303030304,0.045454545454545456,0.045454545454545456,0.0,5.163304514889529,65.46589817483189,0.0,28.206051873198845,0.24015369836695488,43.035542747358306,27.485590778097986,5.5235350624399615,6.460134486071086,16.786743515850144,0.7084534101825168,100.0,0.0,65.46589817483189,70.62920268972142,70.62920268972142,70.62920268972142,93.67195004803074,28.206051873198845,5.403458213256484,28.4462055715658,93.67195004803074,93.91210374639769,99.07540826128722,0.04803073967339097,0.13208453410182516,28.206051873198845,70.62920268972142,28.4462055715658,54.87804878048781,28.04878048780488,14.634146341463413,0.0,4.878048780487805,13.414634146341465,0.0,0.05857407277242801,0.16107870012417705
39,39,1112,0,0,18,11,19,0,125,29,19,53,2267,1404,3796,3,0,1,0,29,18,18,29,37,30,0,19,48,48,48,30,,,96.55555555555556,48.09090909090909,73.89473684210526,,78.17241379310344,73.89473684210526,71.62264150943396,78.17241379310344,96.55555555555556,96.55555555555556,78.17241379310344,84.91891891891892,64.43333333333334,,73.89473684210526,76.47916666666667,76.47916666666667,76.47916666666667,64.43333333333334,18,3,62.18066792718358,24.629171563540748,0,4,1,2.5,68.96551724137932,17.24137931034483,86.20689655172414,61.18333333333333,96.15384615384616,96.07843137254902,96.0,95.91836734693877,32.064811426401704,22.39407312939908,22.146527289307823,21.887184832478194,0.0,0.0,21.08888888888889,0.0,0.0,-9.850406793607324e-16,0.0,0.0,2.568957265980402e-16,0.0,0.0,0.0,0.0,0.0,32.87165873385705,32.87165873385705,-1.0,0,0.10344827586206896,0.5862068965517241,0.10344827586206896,0.689655172413793,1,0,1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.1702127659574468,0.0,0.19148936170212766,0.44680851063829785,0.0,0.0,0.0,0.0,0.08695652173913043,0.10869565217391304,0.06521739130434782,0.10869565217391304,0.10869565217391304,0.06521739130434782,0.13043478260869565,0.32608695652173914,0.0,0.0,45.785036880927294,13.93572181243414,36.986301369863014,0.0,2.5816649104320337,0.0,0.0,9.957850368809273,87.46048472075869,0.0,100.0,0.0,59.72075869336143,45.785036880927294,45.785036880927294,59.72075869336143,82.77133825079031,50.92202318229716,0.0,36.986301369863014,96.70706006322445,96.70706006322445,96.70706006322445,0.07903055848261328,0.026343519494204423,50.92202318229716,59.72075869336143,36.986301369863014,54.71698113207547,35.84905660377358,33.9622641509434,5.660377358490567,0.0,1.8867924528301887,0.0,0.14911426128794958,0.04970475376264986
40,40,590,6,13,2,5,18,6,301,26,24,72,3502,3574,7377,2,8,0,4,7,15,21,20,20,23,19,24,25,31,44,23,304.6666666666667,97.15384615384616,29.0,70.6,187.05555555555554,34.5,134.69230769230768,148.91666666666666,102.45833333333333,58.714285714285715,88.06666666666666,149.95238095238096,83.7,171.25,161.7391304347826,77.36842105263158,148.91666666666666,151.12,128.5483870967742,119.27272727272727,161.7391304347826,18,6,75.70654321374676,98.80093636730327,1,9,3,6.0,34.61538461538461,23.076923076923077,57.69230769230769,13.103703703703703,76.05633802816901,87.14285714285714,91.30434782608695,94.11764705882352,62.382759526694585,42.42407342068033,33.23637170625567,28.671497554029823,5.7,6.511111111111111,20.491666666666667,0.23546421255783057,-0.7680162936313727,0.5325520810735418,-0.03864989554666023,-0.1040483561559199,0.1426982517025801,0.05887602496863402,-0.4134764331676096,0.35460040819897565,-1264.7730760814445,-18.134263784058994,462.13354843261226,61.257011676560914,1.0,13,0.21739130434782608,0.21739130434782608,0.13043478260869565,0.34782608695652173,2,5,2,8,5,11,0.10204081632653061,0.0,0.02040816326530612,0.2857142857142857,0.061224489795918366,0.0,0.04081632653061224,0.061224489795918366,0.04081632653061224,0.3673469387755102,0.08333333333333333,0.0,0.0,0.22916666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.2916666666666667,24.779720753693912,17.120780805205367,0.786227463738647,4.785143012064525,45.641859834621116,2.8060187067913787,23.96638199810221,14.368984682120104,14.694320184356785,13.067642673173378,16.239663819981022,17.663006642266506,93.35773349600109,6.642266503998916,5.571370475803173,17.907008268944015,42.686729022637934,22.69215128100854,46.42808729835976,50.42700284668564,19.926799511996744,48.4478785414125,51.213230310424294,54.01924901721568,71.14002982242104,0.13555645926528398,0.05422258370611359,50.42700284668564,47.47187203470246,48.4478785414125,36.11111111111111,33.33333333333333,25.0,2.7777777777777777,11.11111111111111,0.0,5.555555555555555,0.18827286009067218,0.07530914403626887
41,41,1903,4,1,4,36,68,2,294,45,70,140,2596,4897,7787,12,23,1,1,40,5,9,41,72,104,3,70,108,110,111,104,186.5,25.0,78.0,42.02777777777778,71.41176470588235,20.5,57.68888888888889,69.95714285714286,55.621428571428574,45.625,67.4,120.33333333333333,45.1219512195122,71.77777777777777,61.24038461538461,22.0,69.95714285714286,61.861111111111114,61.10909090909091,60.78378378378378,61.24038461538461,64,6,62.62289814521643,92.92242402762427,1,18,10,14.0,40.0,22.22222222222222,62.22222222222222,17.84047619047619,87.76978417266187,89.13043478260869,90.51094890510949,93.38235294117648,37.056799232191665,29.38352790399088,27.91370822299182,26.346731545395365,2.933333333333333,0.0,21.630555555555553,0.12337654294300492,0.008193631418088747,-0.13157017436109364,0.1085773093388901,0.01310116574766407,-0.1216784750865543,0.0,0.0,0.0,-4473.02145876731,978.5920541670819,23.684388395786506,16.440990351359037,0.0,1,0.15384615384615385,0.23076923076923078,0.02564102564102564,0.25641025641025644,3,5,4,7,13,12,0.02631578947368421,0.008771929824561403,0.0,0.008771929824561403,0.017543859649122806,0.0,0.02631578947368421,0.017543859649122806,0.03508771929824561,0.8508771929824561,0.017699115044247787,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0,0.017699115044247787,0.008849557522123894,0.0,0.02654867256637168,0.017699115044247787,0.8141592920353983,9.580069346346475,0.3210479003467317,4.006677796327212,19.429818928984204,62.36034416334917,0.52651855656864,11.840246564787467,14.76820341594966,25.645306279696932,3.801207140105304,26.492872736612306,17.452163862848337,78.52831642481058,21.471683575189417,23.436496725311418,4.3277256966739435,13.907795043020418,23.75754462565815,66.36702195967639,81.79016309233337,0.8475664569153718,62.886862719917815,85.79684088866058,86.32335944522923,86.64440734557596,0.4494670604854244,0.02568383202773854,81.79016309233337,33.33761397200462,62.886862719917815,32.142857142857146,50.0,45.714285714285715,8.571428571428571,16.428571428571427,0.7142857142857143,0.7142857142857143,0.3210479003467317,0.01834559430552753
42,42,1741,0,0,17,33,47,0,77,50,47,108,5116,3217,8410,6,9,8,1,50,17,17,50,64,80,0,47,97,97,97,80,,,161.11764705882354,72.03030303030303,68.44680851063829,,102.32,68.44680851063829,77.87037037037037,102.32,161.11764705882354,161.11764705882354,102.32,93.0625,69.925,,68.44680851063829,85.90721649484536,85.90721649484536,85.90721649484536,69.925,47,4,67.78556709936956,58.80930794952709,0,4,2,3.0,48.0,16.0,64.0,138.88333333333333,92.5233644859813,93.39622641509435,93.33333333333333,93.26923076923077,44.13394191803883,43.10527708574112,41.19109078877145,39.90422261937313,0.0,0.0,35.041666666666664,0.0,0.0,-1.4023057008051174e-16,0.0,0.0,-1.2863229916534693e-18,0.0,0.0,0.0,0.0,0.0,31.797155748841142,31.797155748841142,-1.0,0,0.02,0.78,0.04,0.8200000000000001,0,2,1,5,5,7,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.09375,0.7395833333333334,0.0,0.0,0.0,0.0,0.021052631578947368,0.05263157894736842,0.010526315789473684,0.07368421052631578,0.06315789473684211,0.031578947368421054,0.08421052631578947,0.6631578947368421,0.0,0.0,32.56837098692033,28.26397146254459,38.25208085612366,0.0,9.417360285374555,0.0,12.615933412604043,14.60166468489893,63.36504161712247,0.0,100.0,0.0,60.832342449464925,32.56837098692033,32.56837098692033,60.832342449464925,70.820451843044,66.51605231866824,0.0,38.25208085612366,99.08442330558859,99.08442330558859,99.08442330558859,0.178359096313912,0.1070154577883472,66.51605231866824,60.832342449464925,38.25208085612366,46.2962962962963,43.51851851851852,43.51851851851852,5.555555555555555,8.333333333333332,7.4074074074074066,0.9259259259259258,0.16514731140177039,0.09908838684106222
43,43,413,12,17,20,26,57,17,90,75,74,161,7298,1204,8592,10,49,2,0,46,37,49,63,77,83,34,74,103,120,137,83,317.3333333333333,73.58823529411765,65.3,35.88461538461539,14.771929824561404,21.294117647058822,97.30666666666667,16.27027027027027,53.36645962732919,48.67391304347826,69.10810810810811,129.89795918367346,55.3968253968254,27.896103896103895,21.3855421686747,47.44117647058823,16.27027027027027,29.9126213592233,28.691666666666666,34.262773722627735,21.3855421686747,86,3,89.12105427534522,44.879991243077264,1,4,6,5.0,26.666666666666668,24.0,50.66666666666667,9.446666666666665,89.375,89.937106918239,91.13924050632912,93.63057324840764,29.40597505951219,24.347563500871143,20.279821208261627,18.977560485770383,37.55,0.041666666666666664,47.733333333333334,0.3360333661932569,0.20173803879355548,-0.5377714049868128,0.23856353767305635,0.20721964096932893,-0.4457831786423847,-0.6234930131422153,0.45925508106488927,0.1642379320773258,379.99765755520815,-180.95405089669512,-14.604592704773397,83.22826552903145,1.0,17,0.08955223880597014,0.3582089552238806,0.11940298507462686,0.47761194029850745,1,3,0,8,11,6,0.06756756756756757,0.013513513513513514,0.013513513513513514,0.1891891891891892,0.02702702702702703,0.006756756756756757,0.12162162162162163,0.033783783783783786,0.12837837837837837,0.3918918918918919,0.05442176870748299,0.013605442176870748,0.013605442176870748,0.17006802721088435,0.0,0.006802721088435374,0.06802721088435375,0.047619047619047616,0.006802721088435374,0.11564625850340136,0.061224489795918366,0.30612244897959184,44.320297951582866,14.560055865921786,15.200186219739292,10.858938547486034,9.799813780260708,4.213221601489757,54.56238361266295,42.26024208566108,3.1773743016759775,0.0,0.0,0.0,100.0,0.0,26.059124767225327,29.760242085661083,74.08054003724395,40.61918063314711,25.0,20.65875232774674,18.773277467411546,14.013035381750466,35.858938547486034,40.0721601489758,54.63221601489758,0.6866852886405959,0.023277467411545624,20.65875232774674,84.93947858472998,14.013035381750466,46.58385093167702,45.962732919254655,53.41614906832298,6.211180124223603,30.434782608695656,1.2422360248447204,0.0,0.42651260164012167,0.014458054292885481
44,44,1083,4,52,0,11,34,32,90,67,66,146,6136,2143,8369,3,35,4,0,11,52,56,63,34,45,84,66,45,77,129,45,169.75,99.51923076923077,,25.636363636363637,52.73529411764706,10.9375,91.58208955223881,32.46969696969697,57.321917808219176,25.636363636363637,99.51923076923077,104.53571428571429,86.61904761904762,52.73529411764706,46.111111111111114,65.77380952380952,32.46969696969697,46.111111111111114,31.493506493506494,58.91472868217054,46.111111111111114,50,6,57.25252980854499,82.73924612341686,1,21,15,18.0,31.343283582089555,22.388059701492537,53.73134328358209,10.614102564102563,90.3448275862069,92.36111111111111,93.7062937062937,94.36619718309859,31.48535437321514,24.08809597775674,19.8932725610013,18.922381694768884,20.116666666666667,14.675,23.24722222222222,0.061462826927101186,0.10605614772371583,-0.16751897465081766,-0.01537017731693026,1.0747833307029255,-1.0594131533859952,-0.40794059446414455,0.06832586697553206,0.33961472748861216,1115.9776613813356,43.78289719634003,134.31752053416398,45.203207625068984,1.1923076923076923,52,0.09230769230769231,0.27692307692307694,0.03076923076923077,0.3076923076923077,0,5,0,7,24,10,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.5909090909090909,0.022727272727272728,0.0,0.0,0.03787878787878788,0.0,0.30303030303030304,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.5648854961832062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748091603053435,8.113275182220098,61.8353447245788,0.0,3.3695782052813956,21.42430397897001,4.182100609391803,17.278049946230134,22.643087585135618,35.3566734376867,0.9439598518341499,2.9752658621101684,20.802963317003226,100.0,0.0,3.3695782052813956,61.8353447245788,69.94861990679891,65.2049229298602,21.42430397897001,24.7938821842514,66.0174453339706,25.606404588361816,24.7938821842514,28.975982793643208,90.811327518222,0.45405663759111003,0.04779543553590632,24.7938821842514,73.3181981120803,25.606404588361816,45.89041095890411,45.20547945205479,34.24657534246575,2.054794520547945,23.972602739726025,2.73972602739726,0.0,0.31099769698021235,0.032736599682127616
45,45,97,0,20,3,4,8,14,70,27,22,57,2551,938,3559,0,11,0,0,7,23,23,27,11,12,34,22,15,29,49,12,,86.55,119.0,115.75,64.5,30.142857142857142,94.48148148148148,42.63636363636363,62.43859649122807,117.14285714285714,90.78260869565217,90.78260869565217,94.48148148148148,79.36363636363636,81.58333333333333,63.3235294117647,42.63636363636363,89.06666666666666,60.62068965517241,71.20408163265306,81.58333333333333,29,2,67.21785472187291,27.154574892443108,0,17,3,10.0,62.96296296296296,22.22222222222222,85.18518518518519,14.5375,91.07142857142857,94.54545454545455,94.44444444444444,94.33962264150944,34.54675384524075,28.893686030897136,19.22647572099268,18.198351865577205,0.0,0.0,29.658333333333335,0.0,0.9401846574768686,-0.9401846574768696,0.0,0.9404721991375976,-0.940472199137597,0.7067572781889073,0.640068337038138,-1.346825615227045,0.0,-38.74563632142014,-79.10546029630162,-49.444412186849995,1.0,20,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.18518518518518517,1,2,0,2,3,4,0.0,0.0,0.0,0.6666666666666666,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.1875,0.0,0.0,0.0,0.6382978723404256,0.02127659574468085,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.0,0.1702127659574468,0.0,48.637257656645126,10.030907558302895,13.009272267490868,14.498454622084855,11.85726327620118,80.97780275358247,19.022197246417534,0.0,0.0,0.0,0.0,100.0,0.0,23.040179825793764,58.66816521494802,58.66816521494802,71.67743748243889,24.52936218038775,27.50772688957572,60.49452093284631,26.355717898286034,37.538634447878614,49.395897724079795,98.03315538072492,0.3090755830289407,0.0,27.50772688957572,71.67743748243889,26.355717898286034,47.368421052631575,38.59649122807017,50.877192982456144,0.0,19.298245614035086,0.0,0.0,0.5422378649630539,0.0
46,46,1494,15,24,36,33,91,19,69,108,110,232,6496,1889,8454,41,70,2,0,69,60,75,93,127,124,43,110,160,179,203,124,198.4,74.08333333333333,38.611111111111114,10.666666666666666,17.956043956043956,13.421052631578947,60.148148148148145,17.172727272727272,36.439655172413794,25.246376811594203,52.8,81.92,37.8494623655914,23.811023622047244,16.016129032258064,47.27906976744186,17.172727272727272,21.1,20.28491620111732,26.645320197044335,16.016129032258064,120,3,90.77111085011433,56.94642819802205,1,4,3,3.5,33.33333333333333,25.0,58.33333333333333,8.220588235294118,92.20779220779221,92.17391304347827,92.57641921397381,94.2982456140351,23.03374810678861,19.38746517530099,16.74876628849259,16.44012583978585,31.516666666666666,1.525,46.96666666666667,0.286350881147297,-0.06687536173722156,-0.2194755194100753,0.23841570084061872,-0.12885478849340093,-0.10956091234721793,-0.28683283410237775,0.005820730970859192,0.2810121031315185,-166.5316485984865,-17.85011861016168,11.349596114513899,-11.812728930021779,0.875,24,0.07216494845360824,0.4742268041237113,0.16494845360824742,0.6391752577319587,3,4,1,18,17,15,0.055299539170506916,0.013824884792626729,0.013824884792626729,0.16589861751152074,0.013824884792626729,0.027649769585253458,0.1382488479262673,0.03225806451612903,0.1382488479262673,0.4009216589861751,0.041666666666666664,0.013888888888888888,0.013888888888888888,0.14814814814814814,0.004629629629629629,0.023148148148148147,0.08796296296296297,0.037037037037037035,0.023148148148148147,0.11574074074074074,0.05092592592592592,0.3333333333333333,35.202271114265436,21.0314643955524,16.441920984149515,4.163709486633546,19.32812869647504,3.0163236337828248,49.751596877217885,32.351549562337354,17.896853560444757,0.0,0.0,0.0,100.0,0.0,20.605630470783062,37.47338537970192,72.67565649396735,41.63709486633546,35.77004968062455,23.491838183108587,24.047788029335226,22.344452330257866,39.9337591672581,42.95008280104093,63.981547196593326,1.312987934705465,0.02365744026496333,23.491838183108587,76.8393659806009,22.344452330257866,46.55172413793103,47.41379310344828,51.724137931034484,17.67241379310345,30.17241379310345,0.8620689655172413,0.0,0.5659430753040797,0.010197172528001435
47,47,1247,14,1,19,24,60,2,118,58,62,135,6345,2343,8806,14,29,1,0,43,20,34,44,79,84,3,62,103,105,106,84,297.2142857142857,10.0,86.63157894736842,22.0,38.583333333333336,14.0,109.39655172413794,37.79032258064516,65.22962962962963,50.55813953488372,82.8,171.08823529411765,49.63636363636363,50.139240506329116,33.845238095238095,12.666666666666666,37.79032258064516,43.58252427184466,43.01904761904762,42.70754716981132,33.845238095238095,57,5,75.43808774349834,87.05069396145893,1,3,2,2.5,31.03448275862069,24.137931034482758,55.172413793103445,11.138461538461538,91.04477611940298,92.4812030075188,93.93939393939394,96.94656488549617,30.19045058658289,18.141567938544455,15.933601170671677,13.69625380836916,15.483333333333333,0.0,29.353333333333335,0.3155712602057953,-0.002663762098403715,-0.31290749810739116,0.6190961857932012,0.02108766336025347,-0.6401838491534548,0.0,0.0,0.0,-445.6871840314766,1487.6033057851234,5.559803912650419,31.459430276806998,1.0,1,0.02127659574468085,0.2765957446808511,0.06382978723404255,0.3404255319148936,0,4,0,4,12,7,0.08333333333333333,0.03333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.15833333333333333,0.016666666666666666,0.15833333333333333,0.49166666666666664,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.0,0.0,0.0,0.05042016806722689,0.06722689075630252,0.0,0.15966386554621848,0.09243697478991597,0.3949579831932773,47.25187372246196,0.11355893708834887,18.69180104474222,5.9959118782648195,26.28889393595276,0.3179650238473768,22.416534181240063,22.13263683851919,19.532137179196003,9.164206223029753,26.754485578014993,0.0,100.0,0.0,24.68771292300704,18.80535998183057,66.05723370429253,24.80127186009539,44.98069498069498,32.28480581421758,0.43152396093572565,26.606858959800135,50.976606858959805,51.29457188280717,51.408130819895526,0.4883034294799001,0.011355893708834885,32.28480581421758,72.05314558255735,26.606858959800135,42.96296296296296,45.925925925925924,42.22222222222222,10.37037037037037,21.48148148148148,0.7407407407407408,0.0,0.3617062440591852,0.008411773117655471
48,48,863,2,4,33,30,75,7,108,69,82,163,4294,4141,8543,15,19,3,2,63,37,39,67,108,105,11,82,138,145,149,105,630.5,119.5,55.666666666666664,23.933333333333334,51.76,37.0,62.231884057971016,50.5,52.41104294478528,40.55555555555556,62.567567567567565,91.6923076923077,45.26865671641791,52.9537037037037,43.80952380952381,67.0,50.5,46.64492753623188,46.179310344827584,48.147651006711406,43.80952380952381,70,6,86.73314234735415,73.33185143959003,1,4,3,3.5,57.971014492753625,17.391304347826086,75.36231884057972,17.572916666666668,93.82716049382715,96.27329192546584,96.25,96.85534591194968,21.594223267224404,17.601400198941626,12.662774370498422,11.896955043106612,6.25,36.5,23.730555555555554,0.24725537563139033,0.10091708912453594,-0.3481724647559263,0.11092960869183727,-0.48394908879302084,0.3730194801011846,0.0,0.0,0.0,-2999.429517162344,270.87864202712143,94.53519653888753,57.331462263961086,1.3333333333333333,3,0.014925373134328358,0.7014925373134329,0.11940298507462686,0.8208955223880597,1,3,1,3,8,5,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.05333333333333334,0.013333333333333334,0.006666666666666667,0.21333333333333335,0.02,0.21333333333333335,0.46,0.0,0.006711409395973154,0.006711409395973154,0.040268456375838924,0.0,0.006711409395973154,0.1476510067114094,0.04697986577181208,0.006711409395973154,0.2080536912751678,0.06711409395973154,0.38926174496644295,14.760622732061337,5.595224160131101,21.50298489991806,8.404541730071404,45.44071169378439,3.031721877560576,26.021303991572047,44.78520426079832,0.24581528736977643,7.386164110968044,19.594990050333607,1.9665222989582114,100.0,0.0,29.907526629989466,27.09820906004916,41.8588317921105,35.502750790120565,66.94369659370246,53.84525342385579,8.626946037691678,48.47243357134496,75.34823832377386,78.37996020133443,83.97518436146552,0.39798665574154274,0.058527449373756285,53.84525342385579,50.2633735221819,48.47243357134496,42.331288343558285,50.306748466257666,42.944785276073624,9.202453987730062,11.65644171779141,1.8404907975460123,1.2269938650306749,0.24416359247947406,0.03590641065874619
